"text","label"
"L'amélioration des conditions de travail est une préoccupation majeure.","0"
"Nous ne pouvons pas laisser la mondialisation écraser notre identité nationale.","1"
"Il n'est jamais trop tard pour réformer le marché du travail.","0"
"Les politiques migratoires doivent être strictes pour maintenir notre identité.","1"
"Des économies sur le long terme n'excusent pas la privation de libre arbitre.","1"
"Le marché libre est la meilleure solution pour une croissance économique saine.","1"
"Une politique de familialisme est indispensable à la survie de notre culture.","1"
"L'économie de marché est le meilleur garant de notre liberté et prospérité.","1"
"La nouvelle législation sur le recyclage obligera les entreprises à prendre plus de responsabilité.","0"
"Malgré les grands progrès réalisés, l'Afrique abrite toujours le plus grand nombre de personnes vivant en dessous du seuil de pauvreté mondial.","0"
"Les taxes sur le tabac devraient être augmentées pour dissuader les gens de fumer.","1"
"Plus d'autonomie pour les écoles serait bénéfique pour notre système éducatif.","1"
"Nous ne devons pas sacrifier l'environnement au profit de l'économie.","2"
"La motivation de la suppression partielle des droits de succession est de stimuler la transmission du patrimoine.","1"
"La structure de l'éducation doit toujours comprendre des aspects de créativité et d'indépendance intellectuelle.","2"
"La quatrième vague de la pandémie semble avoir un impact moins grave sur les hôpitaux.","0"
"Il est nécessaire d'augmenter le budget de la défense pour assurer notre sécurité.","1"
"Un nouveau centre de loisirs a été inauguré.","0"
"La ville investit dans les infrastructures afin d'améliorer la vie des citoyens.","0"
"Les températures estivales cette année ont dépassé les records précédents.","0"
"Nous ne devons pas privatiser le système de retraite.","2"
"Le colonialisme n'a pas lavé blanc la mère patrie.","0"
"L'éducation est le meilleur moyen de lutter contre la pauvreté.","2"
"Les incitations pour les entrepreneurs alimentent la créativité et le développement.","1"
"La richesse créée par le travail doit être équitablement partagée.","2"
"Nous devons assurer l'éducation gratuite pour tous.","2"
"L'environnement ne doit pas être sacrifié pour la croissance économique.","2"
"L'identité française ne doit pas être diluée dans le multiculturalisme.","1"
"Des taux dégressifs contrent vigoureusement les prédicaments dans les environnements fiscaux.","1"
"J'ai flâné dans les rues commerçantes.","0"
"Les dépenses gouvernementales doivent être réduites pour stimuler l'économie.","1"
"La gestion des entreprises par leurs employés doit être préférée à la gestion hiérarchique typique.","2"
"La justice sociale est un idéal que nous devons poursuivre.","2"
"L'État n'a pas à intervenir dans l'éducation de nos enfants.","1"
"Les conditions météorologiques sont stables.","0"
"Les résultats de la recherche sont publiés.","0"
"L'événement culturel annuel de la ville a attiré des milliers de visiteurs.","0"
"Il est impératif de lutter contre l'inflation pour protéger le pouvoir d'achat des citoyens.","2"
"La politique d'immigration doit être approfondie pour prévenir éventuellement des complications sécuritaires.","1"
"La scolarité obligatoire doit inclure des modules sur la citoyenneté et l'écologie.","2"
"Les conditions météorologiques sont changeantes.","0"
"Il n'est pas nécessaire de dépenser autant pour la défense.","2"
"Pour une société plus juste, luttons contre les inégalités sociales.","2"
"Les politiques climatiques doivent inclure des mesures sociales justes.","2"
"Réduire les réglementations sur le nucléaire encourage l'investissement privé.","1"
"Le salaire minimum devrait être augmenté.","2"
"J'ai contribué à l'économie locale.","0"
"La dérégulation des marchés financiers stimulera l'innovation et la croissance.","1"
"Il ne faut pas étouffer les initiatives qui cherchent à diminuer les inégalités.","2"
"Protéger les citoyens doit être la priorité, et cela implique de contrôler l'immigration.","1"
"La réduction des dépenses publiques est nécessaire pour garantir notre stabilité financière.","1"
"L'aspect communautaire doit être priorit ou lorsque celui-ci est menacé par des politiques économiques impitoyables.","2"
"La privatisation des services publics va entraîner une amélioration de la qualité du service.","1"
"J'ai exercé mes droits civiques.","0"
"Le système de santé doit être accessible à tous, quel que soit leur revenu.","2"
"La solidarité est le cœur de notre modèle social.","2"
"Une manifestation de solidarité pour les victimes du tremblement de terre a été organisée.","0"
"Moins d'État, plus de liberté.","1"
"Le fait de supposer que le secteur privé est meilleur que le secteur public n'est pas idéologique, c'est réaliste.","1"
"Nous devons renforcer le droit du travail et protéger les travailleurs.","2"
"Les lois sociales doivent encourager le travail plutôt que l'assistanat.","1"
"Les syndicats ne devraient pas avoir autant de pouvoir.","1"
