"text","label"
"Nous ne pouvons pas laisser la mondialisation écraser notre identité nationale.","1"
"Les politiques migratoires doivent être strictes pour maintenir notre identité.","1"
"Des économies sur le long terme n'excusent pas la privation de libre arbitre.","1"
"Le marché libre est la meilleure solution pour une croissance économique saine.","1"
"Une politique de familialisme est indispensable à la survie de notre culture.","1"
"L'économie de marché est le meilleur garant de notre liberté et prospérité.","1"
"Les taxes sur le tabac devraient être augmentées pour dissuader les gens de fumer.","1"
"Plus d'autonomie pour les écoles serait bénéfique pour notre système éducatif.","1"
"Nous ne devons pas sacrifier l'environnement au profit de l'économie.","2"
"La motivation de la suppression partielle des droits de succession est de stimuler la transmission du patrimoine.","1"
"La structure de l'éducation doit toujours comprendre des aspects de créativité et d'indépendance intellectuelle.","2"
"Il est nécessaire d'augmenter le budget de la défense pour assurer notre sécurité.","1"
"Nous ne devons pas privatiser le système de retraite.","2"
"L'éducation est le meilleur moyen de lutter contre la pauvreté.","2"
"Les incitations pour les entrepreneurs alimentent la créativité et le développement.","1"
"La richesse créée par le travail doit être équitablement partagée.","2"
"Nous devons assurer l'éducation gratuite pour tous.","2"
"L'environnement ne doit pas être sacrifié pour la croissance économique.","2"
"L'identité française ne doit pas être diluée dans le multiculturalisme.","1"
"Des taux dégressifs contrent vigoureusement les prédicaments dans les environnements fiscaux.","1"
"Les dépenses gouvernementales doivent être réduites pour stimuler l'économie.","1"
"La gestion des entreprises par leurs employés doit être préférée à la gestion hiérarchique typique.","2"
"La justice sociale est un idéal que nous devons poursuivre.","2"
"L'État n'a pas à intervenir dans l'éducation de nos enfants.","1"
"Il est impératif de lutter contre l'inflation pour protéger le pouvoir d'achat des citoyens.","2"
"La politique d'immigration doit être approfondie pour prévenir éventuellement des complications sécuritaires.","1"
"La scolarité obligatoire doit inclure des modules sur la citoyenneté et l'écologie.","2"
"Il n'est pas nécessaire de dépenser autant pour la défense.","2"
"Pour une société plus juste, luttons contre les inégalités sociales.","2"
"Les politiques climatiques doivent inclure des mesures sociales justes.","2"
"Réduire les réglementations sur le nucléaire encourage l'investissement privé.","1"
"Le salaire minimum devrait être augmenté.","2"
"La dérégulation des marchés financiers stimulera l'innovation et la croissance.","1"
"Il ne faut pas étouffer les initiatives qui cherchent à diminuer les inégalités.","2"
"Protéger les citoyens doit être la priorité, et cela implique de contrôler l'immigration.","1"
"La réduction des dépenses publiques est nécessaire pour garantir notre stabilité financière.","1"
"L'aspect communautaire doit être priorit ou lorsque celui-ci est menacé par des politiques économiques impitoyables.","2"
"La privatisation des services publics va entraîner une amélioration de la qualité du service.","1"
"Le système de santé doit être accessible à tous, quel que soit leur revenu.","2"
"La solidarité est le cœur de notre modèle social.","2"
"Moins d'État, plus de liberté.","1"
"Le fait de supposer que le secteur privé est meilleur que le secteur public n'est pas idéologique, c'est réaliste.","1"
"Nous devons renforcer le droit du travail et protéger les travailleurs.","2"
"Les lois sociales doivent encourager le travail plutôt que l'assistanat.","1"
"Les syndicats ne devraient pas avoir autant de pouvoir.","1"
"Il n'est pas envisageable d’écourter les prestations sociales sans plan d'insertion ferme.","2"
"Il faut mettre fin à la politique de l'excuse.","1"
"La libéralisation du commerce favorise l'économie globale.","1"
"Les citoyens devraient pouvoir porter des armes pour leur défense.","1"
"Une politique d'immigration plus restrictive est nécessaire pour protéger nos intérêts nationaux.","1"
"La libéralisation du marché est nécessaire pour stimuler l'économie.","1"
"Les événements sportifs devraient promouvoir l'égalité et l'inclusion.","2"
"Les sanctions sévères sont nécessaires pour dissuader la fraude fiscale.","1"
"La réforme du code du travail s'impose pour favoriser le recrutement.","1"
"Une police bien équipée est cruciale pour combattre le terrorisme.","1"
"Les subventions agricoles protègent notre agriculture et nous assurent la souveraineté alimentaire.","1"
"Il faut abolir les paradis fiscaux.","2"
"Les impôts trop élevés nuisent à la croissance économique.","1"
"La bonne gestion des ressources dépend de la responsabilisation individuelle.","1"
"L'égalité des droits, indépendamment du genre, doit être garanti par la loi.","2"
"L'ascension sociale doit être rendue possible pour tous.","2"
"L'investissement dans les énergies renouvelables est essentiel pour notre avenir.","2"
"Dans l'intérêt du climat, nous devons abandonner le nucléaire.","2"
"Les transports en commun gratuits favoriseraient une mobilité durable.","2"
"Améliorer le parc nucléaire français soutient la recherche et développement technologique.","1"
"La libéralisation du commerce est bénéfique pour l'économie.","1"
"Il faut renforcer la protection des droits des travailleurs.","2"
"Le gouvernement ne doit pas empiéter sur les droits et libertés individuels.","1"
"Il n'est pas question de revenir sur l'IVG.","2"
"La privatisation des services de santé améliore leur qualité.","1"
"Les privatisations sont une solution à la dette publique.","1"
"Les impôts sont trop élevés et découragent le travail acharné et l'innovation.","1"
"La protection des consommateurs devrait être une priorité.","2"
"On ne doit pas croire que la répression soit la solution à tous les problèmes de sécurité.","1"
"La politique climatique ne doit pas porter atteinte à la liberté des entreprises.","1"
"Les services publics devraient être étendus et renforcés.","2"
"Le droit du travail doit être renforcé, pas affaibli.","2"
"Les syndicats sont essentiels pour défendre les droits des travailleurs.","2"
"Il est nécessaire de déréguler le marché du travail.","1"
"Nous ne devons pas minimiser le réchauffement climatique.","2"
"Notre priorité doit être la lutte contre la pauvreté.","2"
"L'armée devrait bénéficier d'un financement prioritaire.","1"
